fy_label,end_year,indicator,value,why_useful
2011-12,2012,Locations Assessed,821,Wind resource assessment expansion
2013-14,2014,Wind Monitoring Stations,157,Project site identification
2014-15,2015,Repowering Initiative,Started,Future capacity growth driver
2015-16,2016,Forecasting Service,Launched,Grid integration improvement
2016-17,2017,Forecasting Impact,26% evacuation improvement,Supports higher deployment
2017-18,2018,Offshore LiDAR,Operational,Future offshore development
2023-24,2024,Odisha WMS Sites,5,New resource assessment locations
2023-24,2024,Offshore Survey Area,108 sq km,500 MW Gulf of Mannar preparation
2024-25,2025,New WMS,3 Andaman stations,Resource assessment expansion
2024-25,2025,SCADA Coverage,13 substations,Grid integration support
